GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Herbiconiux	moechotypicola		62:94*	sp. nov. (VP)	Kim et al. 2012		1	RB-62, JCM 16117, KCTC 19653	789626	
Herbiconiux	solani		61:1045*	sp. nov. (VP)	Behrendt et al. 2011		1	K134/01, DSM 19813, LMG 24387, NBRC 106740	786860	
Herbidospora			43:327*	gen. nov. (VP)	Kudo et al. 1993				515795	
Herbidospora	cretacea		43:327*	sp. nov. (VP)	Kudo et al. 1993		1	DSM 44071, JCM 8553, K-319	776893	
Herbidospora	daliensis		60:1171*	sp. nov. (VP)	Tseng et al. 2010		1	0385M-1, FIRDI 004, BCRC 16876, LMG 24336	788546	
Herbidospora	mongoliensis		62:2328*	sp. nov. (VP)	Ara et al. 2012		1	MN08-A0118, NBRC 105882, VTCC D9-22	790201	
Herbidospora	osyris		59:3127*	sp. nov. (VP), heterotypic syn.	Li et al. 2009	synonymy: IJSEM 62:2327*	1	YIM 65070, CCTCC AA 208019, DSM 45214	788286	776893
Herbidospora	sakaeratensis		61:780*	sp. nov. (VP)	Boondaeng et al. 2011		1	DMKUA 205, BCC 11662, NBRC 102641	789142	
Herbidospora	yilanensis		60:1170*	sp. nov. (VP)	Tseng et al. 2010		1	0351M-12, FIRDI 003, BCRC 16875, LMG 24337	788547	
Herbihabitans			66:4160*	gen. nov. (VP)	Zhang et al. 2016				519053	
Herbihabitans	rhizosphaerae		66:4160*	sp. nov. (VP)	Zhang et al. 2016			CPCC 204279, NBRC 111774, DSM 101727	794625	
Herbinix			65:2370*	gen. nov. (VP)	Koeck et al. 2015				518769	
Herbinix	hemicellulosilytica		65:2370*	sp. nov. (VP)	Koeck et al. 2015			T3/55, DSM 29228, CECT 8801	793089	
Herbinix	luporum		66:4136*	sp. nov. (VP)	Koeck et al. 2016			SD1D, DSM 100831, CECT 8959	794666	
Herbivorax			66:4461*	gen. nov. (VP)	Koeck et al. 2016				519082	
Herbivorax	saccincola		66:4462*	sp. nov. (VP)	Koeck et al. 2016			GGR1, DSM 101079, CECT 9155	794826	
Herminiimonas			55:2236	gen. nov. (VL)	Fernandes et al. 2005				515333	
Herminiimonas	aquatilis		56:1459	sp. nov. (VL)	Kämpfer et al. 2006		1	CCUG 36956, CIP 108933	785249	
Herminiimonas	arsenicoxydans		56:1768*	sp. nov. (VP)	Muller et al. 2006		1	ULPAs1, CCM 7303, DSM 17148, LMG 22961	785313	
Herminiimonas	contaminans		63:416*	sp. nov. (VP)	Kämpfer et al. 2013		1	CCM 7991, CCUG 53591	790537	
Herminiimonas	fonticola		55:2236	sp. nov. (VL)	Fernandes et al. 2005		1	CIP 108398, LMG 22527, S-94	784012	
Herminiimonas	glaciei		59:1276*	sp. nov. (VP)	Loveland-Curtze et al. 2009		1	UMB49, ATCC BAA-1623, DSM 21140	787929	
Herminiimonas	saxobsidens		57:2621*	sp. nov. (VP)	Lang et al. 2007		1	NS11, DSM 18748, CCM 7436	786927	
Herpetosiphon			30:307 (AL)	genus (AL)	Holt and Lewin 1968				515798	
Herpetosiphon	aurantiacus		30:307 (AL)	species (AL)	Holt and Lewin 1968		1	ATCC 23779, DSM 785	776897	
Herpetosiphon	cohaerens		30:308 (AL)	species (AL)	Lewin 1970		1	ATCC 23123	784013	784156
Herpetosiphon	geysericola		30:308 (AL)	species (AL)	(Copeland 1936) Lewin 1970		1	ATCC 23076, DSM 7119	776898	
Herpetosiphon	giganteus		67:2480*	sp. nov. (VP)	(ex Reichenbach and Golecki 1975) Pan et al. 2017			DSM 589, NBRC 112828, Hp a2	776899	
Herpetosiphon	gulosus		67:2480*	sp. nov. (VP)	Pan et al. 2017			Hp g472, DSM 52871, NBRC 112829	795529	
Herpetosiphon	nigricans		30:308 (AL)	species (AL)	Lewin 1970		1	ATCC 23147	784014	784157
Herpetosiphon	persicus		30:308 (AL)	species (AL)	Lewin 1970		1	ATCC 23167	784015	787060
Hespellia			54:244*	gen. nov. (VP)	Whitehead et al. 2004				515799	
Hespellia	porcina		54:244*	sp. nov. (VP)	Whitehead et al. 2004		1	ATCC BAA-674, NRRL B-23458, PC80	776901	
Hespellia	stercorisuis		54:244*	sp. nov. (VP)	Whitehead et al. 2004		1	ATCC BAA-677, CCUG 46279, NRRL B-23456, PC18	776902	
Hippea			49:1037*	gen. nov. (VP)	Miroshnichenko et al. 1999 emend. Flores et al. 2012	emended description: IJSEM 62:1257*			517055	
Hippea	alviniae		62:1257*	sp. nov. (VP)	Flores et al. 2012		1	EP5-r, DSM 24586, OCM 986	789921	
Hippea	jasoniae		62:1257*	sp. nov. (VP)	Flores et al. 2012		1	Mar08-272r, DSM 24585, OCM 985	789920	
Hippea	maritima		49:1037*	sp. nov. (VP)	Miroshnichenko et al. 1999		1	DSM 10411, MH<SUB>2</SUB>	776904	
Hirschia			40:449*	gen. nov. (VP)	Schlesner et al. 1990 emend. Park and Yoon 2013	emended description: IJSEM 63:1688*			515802	
Hirschia	baltica		40:449*	sp. nov. (VP)	Schlesner et al. 1990		1	DSM 5838, IFAM 1418	776906	
Hirschia	litorea		63:1688*	sp. nov. (VP)	Park and Yoon 2013		1	M-M23, CCUG 62793, KCTC 32081	790751	
Hirschia	maritima		59:2268*	sp. nov. (VP)	Kang and Lee 2009		1	GSW-2, DSM 19733, JCM 14974	786771	
Histophilus			53:1454*	gen. nov. (VP)	Angen et al. 2003				517249	
Histophilus	somni		53:1455*	sp. nov. (VP)	Angen et al. 2003		2, t	8025, ATCC 43625, CCUG 36157	784016	
Hoeflea			55:1165*	gen. nov. (VP)	Peix et al. 2005 emend. Rahul et al. 2015	emended description: IJSEM 65:2408*			515803	
Hoeflea	alexandrii		56:1994*	sp. nov. (VP)	Palacios et al. 2006		1	AM1V30, CECT 5682, DSM 16655	785333	
Hoeflea	anabaenae		61:2443*	sp. nov. (VP)	Stevenson et al. 2011		1	WH2K, CCUG 56626, NRRL B-59520	789499	
Hoeflea	halophila		63:3131	sp. nov. (VL)	Jung et al. 2013		1	JG120-1, KCTC 23107, JCM 16715	791057	
Hoeflea	marina		55:1166*	sp. nov. (VP)	Peix et al. 2005		1	ATCC 25654, LMG 128	776907	
Hoeflea	olei		65:2408*	sp. nov. (VP)	Rahul et al. 2015			JC234, KCTC 42071, LMG 28200	793090	
Hoeflea	phototrophica		56:825*	sp. nov. (VP)	Biebl et al. 2006		1	DFL-43, DSM 17068, NCIMB 14078	776908	
Hoeflea	suaedae		63:2280*	sp. nov. (VP)	Chung et al. 2013		1	YC6898, KACC 14911, NBRC 107700, DSM 23348	790871	795105
Holdemanella			64:3882*	gen. nov. (VP)	De Maesschalck et al. 2014				518633	
Holdemanella	biformis		64:3882*	comb. nov. (VP)	(Eggerth 1935) De Maesschalck et al. 2014		1	DSM 3989, ATCC 27806, CCUG 28091	792304	
Holdemania			47:1203*	gen. nov. (VP)	Willems et al. 1997				515805	
Holdemania	filiformis		47:1203*	sp. nov. (VP)	Willems et al. 1997		1	ATCC 51649, DSM 12042, J1-31B-1	776911	
Holdemania	massiliensis		66:2464	sp. nov. (VL)	Mishra et al. 2016			AP2, CSUR P195, DSM 26143	794276	
Hollandina			38:295*	gen. nov. (VP), nom. rev.	(ex To et al. 1978) Bermudes et al. 1988				517250	
Hollandina	pterotermitidis		38:296*	sp. nov., nom. rev. (VP)	(ex To et al. 1978) Bermudes et al. 1988	no type strain available	1		784017	
Holophaga			45:197	gen. nov. (VL)	Liesack et al. 1995				515806	
Holophaga	foetida		45:197	sp. nov. (VL)	Liesack et al. 1995		1	DSM 6591, TMBS4	776912	
Holospora			31:351*	gen. nov. (VP), nom. rev.	(ex Hafkine 1890) Gromov and Ossipov 1981				517251	
Holospora	caryophila		32:140*	sp. nov., nom. rev. (VP)	(ex Hafkine 1890) Preer and Preer 1982	the type strain is carried in strain 562 of Paramecium biaurelia,  ATCC 30694	1	ATCC 30694	784018	
Holospora	elegans		32:140*	sp. nov., nom. rev. (VP)	(ex Hafkine 1890) Preer and Preer 1982		1	C101	784019	
Holospora	obtusa		31:351*	sp. nov., nom. rev. (VP)	(ex Hafkine 1890) Gromov and Ossipov 1981		1	C103	784020	
Holospora	undulata		31:351*	sp. nov., nom. rev. (VP)	(ex Hafkine 1890) Gromov and Ossipov 1981		1	C204	784021	
Homoserinibacter			64:2185	gen. nov. (VP)	Kim et al. 2014				518577	
Homoserinibacter	gongjuensis		64:2185	sp. nov. (VL)	Kim et al. 2014			5GH26-15, KACC 15524, NBRC 108755	791919	
Homoserinimonas			62:2550	gen. nov. (VL)	Kim et al. 2012				518266	
Homoserinimonas	aerilata		62:2550	sp. nov. (VL)	Kim et al. 2012		1	5317J-19, KACC 15522, NBRC 108729	790241	
Hongia			50:197*	gen. nov. (VP), heterotypic syn.	Lee et al. 2000	type species transferred to the genus <I>Kribbella</I>; IJSEM 53:1007*			517252	515900
Hongia	koreensis		50:197*	sp. nov. (VP)	Lee et al. 2000		1	IMSNU 50530, LM 161	784022	777211
Hongiella			54:160*	gen. nov. (VP)	Yi and Chun 2004 emend. Nedashkovskaya et al. 2004				515807	515073
Hongiella	halophila		54:160*	sp. nov. (VP)	Yi and Chun 2004		1	DSM 15292, IMSNU 14013, JC2051, KCTC 12051	776913	773039
Hongiella	mannitolivorans		54:160*	sp. nov. (VP)	Yi and Chun 2004		1	DSM 15301, IMSNU 14012, JC2050, KCTC 12050	786729	786728
Hongiella	marincola		54:1848*	sp. nov. (VP)	Yoon et al. 2004		1	DSM 16067, KCTC 12180, SW-2	786733	786732
Hongiella	ornithinivorans		54:160*	sp. nov. (VP)	Yi and Chun 2004		1	DSM 15282, IMSNU 14014, JC2052, KCTC 12052	786737	786736
Hoppeia			64:2058*	gen. nov. (VP)	Kwon et al. 2014				518561	
Hoppeia	youngheungensis		64:2058*	sp. nov. (VP)	Kwon et al. 2014 emend. Hameed et al. 2015	emended description: IJSEM 65:343*	1	YIK12, KCCM 43023, JCM 19488	791873	
Howardella			57:2943*	gen. nov. (VP)	Cook et al. 2007				515325	
Howardella	ureilytica		57:2944*	sp. nov. (VP)	Cook et al. 2007		1	GPC 589, DSM 15118, JCM 13267	786999	
Hoyosella			59:3109*	gen. nov. (VP)	Jurado et al. 2009 emend. Hamada et al. 2016 emend. Li et al. 2016	emended descriptions: IJSEM 66:4714* and IJSEM 66:4720*			517925	
Hoyosella	altamirensis		59:3109*	sp. nov. (VP)	Jurado et al. 2009 emend. Hamada et al. 2016	emended description: IJSEM 66:*	1	OFN S31, CIP 109864, DSM 45258	788261	
Hoyosella	rhizosphaerae		66:4721*	sp. nov. (VP)	Li et al. 2016			J12GA03, DSM 101985, CGMCC 1.15478	794769	
Hoyosella	subflava		66:4714*	comb. nov. (VP)	(Wang et al. 2010) Hamada et al. 2016		1	DQS3-9A1, CGMCC 4.3532, DSM 45089, JCM 17490, NBRC 109087	794768	
Huaishuia			62:226*	gen. nov. (VP)	Wang et al. 2012	type species has been transferred to the genus <I>Celeribacter</I>; IJSEM 64:4165*			518161	517997
Huaishuia	halophila		62:227*	sp. nov. (VP)	Wang et al. 2012		1	ZXM137, CGMCC 1.8891, LMG 24854	789627	792366
Huakuichenia			66:5402*	gen. nov. (VP)	Zhang et al. 2016				519091	
Huakuichenia	soli		66:5403*	sp. nov. (VP)	Zhang et al. 2016			LIP-1, CCTCC AB 2015422, KCTC 39698	794885	
Huanghella			63:700*	gen. nov. (VP)	Jiang et al. 2013				518312	
Huanghella	arctica		63:701*	sp. nov. (VP)	Jiang et al. 2013		1	R9-9, CCTCC AB 2010418, NRRL B-59750	790538	
Hugenholtzia			67:1096	gen. nov. (VL)	Hahnke et al. 2017				519189	
Hugenholtzia	roseola		67:1096	comb. nov. (VL)	(Lewin 1969) Hahnke et al. 2017		1	ATCC 23088, DSM 9546	795344	
Humibacillus			58:1549*	gen. nov. (VP)	Kageyama et al. 2008				517804	
Humibacillus	xanthopallidus		58:1550*	sp. nov. (VP)	Kageyama et al. 2008		1	KV-663, NBRC 101803, NRRL B-24471	787442	
Humibacter			58:1016*	gen. nov. (VP)	Vaz-Moreira et al. 2008 emend. Lee 2013	emended description: IJSEM 63:4318*			517779	
Humibacter	albus		58:1017*	sp. nov. (VP)	Vaz-Moreira et al. 2008		1	SC-083, CCUG 54538, DSM 18994, LMG 23996	787301	
Humibacter	antri		63:4318*	sp. nov. (VP)	Lee 2013		1	D7-27, KCTC 33009, DSM 25738	791240	
Humibacter	aquilariae		67:1472*	sp. nov. (VP)	Lin et al. 2017			CC-YTH161, BCRC 80936, JCM 31199	795249	
Humibacter	ginsengisoli		65:2739*	sp. nov. (VP)	Kim et al. 2015			DCY90, KCTC 33521, JCM 30080	793092	
Humibacter	ginsengiterrae		65:2739*	sp. nov. (VP)	Kim et al. 2015			DCY60, KCTC 33520, JCM 30079	793091	
Humibacter	soli		66:2513*	sp. nov. (VP)	Park et al. 2016			R1-20, KCTC 39614, JCM 31015	794253	
Humicoccus			57:59*	gen. nov. (VP), heterotypic syn.	Yoon et al. 2007	type species has been transferred to the genus <I>Nakamurella</I>; IJSEM 62:2550			517497	516149
Humicoccus	flavidus		57:59*	sp. nov. (VP)	Yoon et al. 2007		1	DS-52, KCTC 19127, CIP 108919	785843	790254
Humihabitans			57:2165*	gen. nov. (VP)	Kageyama et al. 2007	type species has been transferred to the genus <I>Intrasporangium</I>; IJSEM 62:1040*			517664	515853
Humihabitans	oryzae		57:2165*	sp. nov. (VP)	Kageyama et al. 2007		1	KV-657, NRRL B-24470, NBRC 101802	786694	789866
Humitalea			63:1415*	gen. nov. (VP)	Margesin and Zhang 2013				518340	
Humitalea	rosea		63:1415*	sp. nov. (VP)	Margesin and Zhang 2013		1	W37, CIP 110261, LMG 26243	790687	
Hungatella			64:716*	gen. nov. (VP)	Kaur et al. 2014				518513	
Hungatella	effluvii		64:717*	sp. nov. (VP)	Kaur et al. 2014		1	UB-B.2, MTCC 11101, DSM 24995	791621	
Hungatella	hathewayi		64:716*	comb. nov. (VP)	(Steer et al. 2002) Kaur et al. 2014		1	DSM 13479, CCUG 43506, MTCC 10951	791622	
Hwangdonia			63:3189*	gen. nov. (VP)	Jung et al. 2013 emend. Tang et al. 2016	emended description: IJSEM 66:2897*			518418	
Hwangdonia	seohaensis		63:3190*	sp. nov. (VP)	Jung et al. 2013		1	HD-3, KCTC 32177, CCUG 63246	791092	
Hwanghaeicola			60:2880*	gen. nov. (VP)	Kim et al. 2010				518041	
Hwanghaeicola	aestuarii		60:2881*	sp. nov. (VP)	Kim et al. 2010		1	Y26, DSM 22009, KACC 13705	788949	
Hyalangium			57:894	gen. nov. (VL)	Reichenbach 2007				515814	
Hyalangium	minutum		57:894	sp. nov. (VL)	Reichenbach 2007		1	NOCB-2, DSM 14724, CIP 109157	776925	
Hydrobacter			65:924*	gen. nov. (VP)	Eder et al. 2015				518682	
Hydrobacter	penzbergensis		65:925*	sp. nov. (VP)	Eder et al. 2015			EM 4, DSM 25353, CCUG 62278	792595	
Hydrocarboniphaga			54:1207*	gen. nov. (VP)	Palleroni et al. 2004				515818	
Hydrocarboniphaga	daqingensis		61:411*	sp. nov. (VP)	Liu et al. 2011		1	B2-9, CGMCC 1.7049, NBRC 104238	789038	
Hydrocarboniphaga	effusa		54:1207*	sp. nov. (VP)	Palleroni et al. 2004		1	AP103, ATCC BAA-332, DSM 16095	776930	
Hydrogenibacillus			63:1725*	gen. nov. (VP)	Kämpfer et al. 2013				518342	
Hydrogenibacillus	schlegelii		63:1726*	comb. nov. (VP)	(Schenk and Aragno 1981) Kämpfer et al. 2013		1	DSM 2000, ATCC 43741, CCUG 26017, CIP 106933, LMG 7133	790706	
Hydrogenimonas			54:31*	gen. nov. (VP)	Takai et al. 2004				517253	
Hydrogenimonas	thermophila		54:31*	sp. nov. (VP)	Takai et al. 2004		1	ATCC BAA-737, EP1-55-1%, JCM 11971	784023	
Hydrogenispora			64:1761*	gen. nov. (VP)	Liu et al. 2014				518551	
Hydrogenispora	ethanolica		64:1761*	sp. nov. (VP)	Liu et al. 2014		1	LX-B, DSM 25471, JCM 18117, CGMCC 1.5175	791840	
Hydrogenivirga			54:2083*	gen. nov. (VP)	Nakagawa et al. 2004				515819	
Hydrogenivirga	caldilitoris		54:2083	sp. nov. (VL)	Nakagawa et al. 2004		1	ATCC BAA-821, IBSK3, JCM 12173	776931	
Hydrogenivirga	okinawensis		58:680*	sp. nov. (VP)	Nunoura et al. 2008		1	LS12-2, JCM 13302, DSM 17378	776932	
Hydrogenoanaerobacterium			59:297*	gen. nov. (VP)	Song and Dong 2009				517841	
Hydrogenoanaerobacterium	saccharovorans		59:298*	sp. nov. (VP)	Song and Dong 2009		1	SW512, AS 1.5070, JCM 14861	787712	
Hydrogenobacter			34:9*	gen. nov. (VP)	Kawasumi et al. 1984				515820	
Hydrogenobacter	acidophilus		43:707*	sp. nov. (VP)	Shima and Suzuki 1993		1	3H-1, DSM 11251, JCM 8795	776933	776936
Hydrogenobacter	hydrogenophilus		51:1860*	comb. nov. (VP)	(Kryukov et al. 1984) Stöhr et al. 2001		1	DSM 2913, INMI Z-829, JCM 8158	776934	
Hydrogenobacter	subterraneus		51:1433*	sp. nov. (VP)	Takai et al. 2001		1	HGP1, IFO 16485, JCM 10560	784024	
Hydrogenobacter	thermophilus		34:9*	sp. nov. (VP)	Kawasumi et al. 1984		1	DSM 6534, IAM 12695, TK-6	776935	
Hydrogenobaculum			51:1860*	gen. nov. (VP)	Stöhr et al. 2001				515821	
Hydrogenobaculum	acidophilum		51:1860*	comb. nov. (VP)	(Shima and Suzuki 1993) Stöhr et al. 2001		1	3H-1, DSM 11251, JCM 8795	776936	
Hydrogenophaga			39:329*	gen. nov. (VP)	Willems et al. 1989				515823	
Hydrogenophaga	atypica		55:344*	sp. nov. (VP)	Kämpfer et al. 2005		1	BSB 41.8, CIP 108118, DSM 15342	776943	
Hydrogenophaga	bisanensis		58:396*	sp. nov. (VP)	Yoon et al. 2008		1	K102, CCUG 54518, KCTC 12980	787214	
Hydrogenophaga	caeni		57:1129*	sp. nov. (VP)	Chung et al. 2007		1	EMB71, KCTC 12613, DSM 17962	786299	
Hydrogenophaga	defluvii		55:343*	sp. nov. (VP)	Kämpfer et al. 2005		1	BSB 9.5, CIP 108119, DSM 15341	776944	
Hydrogenophaga	flava		39:329*	comb. nov. (VP)	(Niklewski 1910) Willems et al. 1989		1	ATCC 33667, CCUG 1658, DSM 619, LMG 2185	776945	
Hydrogenophaga	intermedia		51:793	sp. nov. (VL)	Contzen et al. 2001		1	DSM 5680, S1	776946	
Hydrogenophaga	laconesensis		67:1096	sp. nov. (VL)	Mantri et al. 2017			HWB-10, KTCC 42478, LMG 28681	795348	
Hydrogenophaga	luteola		65:3764	sp. nov. (VL)	Du et al. 2015			THG-SQE7, CCTCC AB 2014314, JCM 30433, KCTC 42501	793417	
Hydrogenophaga	palleronii		39:330*	comb. nov. (VP)	(Davis 1970) Willems et al. 1989		1	ATCC 17724, CCUG 20334, DSM 63, LMG 2366t1, Stanier 362t1	776947	
Hydrogenophaga	pseudoflava		39:330*	comb. nov. (VP)	(Auling et al. 1978) Willems et al. 1989	"synonym ""Pseudomonas carboxydoflava"""	1	ATCC 33668, CCUG 13799, DSM 1034, GA3, LMG 5945	776948	
Hydrogenophaga	taeniospiralis		39:330*	comb. nov. (VP)	(Lalucat et al. 1982) Willems et al. 1989		1	CCUG 15921, DSM 2082, LMG 7170	776950	
Hydrogenophilus			49:785*	gen. nov. (VP)	Hayashi et al. 1999				515824	
Hydrogenophilus	hirschii		51:488*	sp. nov. (VP)	Stöhr et al. 2001		1	DSM 11420, JCM 10831, Yel5a	776951	
Hydrogenophilus	islandicus		61:294*	sp. nov. (VP)	Vésteinsdóttir et al. 2011		1	16C, DSM 21442, JCM 16106	789039	
Hydrogenophilus	thermoluteolus		49:785*	sp. nov. (VP)	Hayashi et al. 1999		1	IFO 14978, TH-1	784025	
Hydrogenothermus			51:1860*	gen. nov. (VP)	Stöhr et al. 2001				515826	
Hydrogenothermus	marinus		51:1861*	sp. nov. (VP)	Stöhr et al. 2001		1	DSM 12046, JCM 10974, VM1	776953	
Hydrogenovibrio			41:132*	gen. nov. (VP)	Nishihara et al. 1991 emend. Boden et al. 2017	emended description: IJSEM 67:1148/9*			515827	
Hydrogenovibrio	crunogenus		67:1149*	comb. nov. (VP)	(Jannasch et al. 1985) Boden et al. 2017		1	TH-55, ATCC 35932, DSM 12353, LMD 84.00	795241	
Hydrogenovibrio	halophilus		67:1149*	comb. nov. (VP)	(Sorokin et al. 2006) Boden et al. 2017		1	HL 5, DSM 15072, UNIQEM U 221	795240	
Hydrogenovibrio	kuenenii		67:1149*	comb. nov. (VP)	(Brinkhoff et al. 1999) Boden et al. 2017		1	JB-A1, ATCC 700877, DSM 12350	795239	
Hydrogenovibrio	marinus		41:132*	sp. nov. (VP)	Nishihara et al. 1991		1	DSM 11271, JCM 7688, MH-110	776954	
Hydrogenovibrio	thermophilus		67:1149*	comb. nov. (VP)	(Takai et al. 2004) Boden et al. 2017		1	I78, DSM 16397, JCM 12397	795242	
Hydromonas			65:4137*	gen. nov. (VP)	Vaz-Moreira et al. 2015				518831	
Hydromonas	duriensis		65:4138*	sp. nov. (VP)	Vaz-Moreira et al. 2015			A2P5, LMG 28428, CCUG 66137	793510	
Hydrotalea			61:521*	gen. nov. (VP)	Kämpfer et al. 2011 emend. Albuquerque et al. 2012	emended description: IJSEM 62:1606*			518063	
Hydrotalea	flava		61:522*	sp. nov. (VP)	Kämpfer et al. 2011 emend. Albuquerque et al. 2012	emended description: IJSEM 62:1606/1607*	1	CCM 7760, CCUG 51397	789072	
Hydrotalea	sandarakina		62:1607*	sp. nov. (VP)	Albuquerque et al. 2012		1	AF-51, DSM 23241, LMG 25526	789993	
Hylemonella			54:104*	gen. nov. (VP)	Spring et al. 2004				515830	
Hylemonella	gracilis		54:104*	comb. nov. (VP)	(Canale-Parola et al. 1966) Spring et al. 2004	"The basonym of <I>Hylemonella gracilis</I> (Canale-Parola et al. 1966) Spring et al. 2004 must be <I>Aquaspirillum gracile</I> (Canale-Parola et al. 1966) Hylemon et al. 1973 (Approved Lists 1980), not ""<I>Spirillum gracile</I>"" Canale-Parola et al. 1966 "	1	ATCC 19624, DSM 9158	776957	
Hymenobacter			49:1	gen. nov. (VL)	Hirsch et al. 1999 emend. Buczolits et al. 2006 emend. Reddy 2013 emend. Han et al. 2014	emended descriptions: IJSEM 56:2076* and IJSEM 64:2191 (List of Changes in Taxonomic Opinion) and 65:8 (List of Changes in Taxonomic Opinion no. 21)			515831	
Hymenobacter	actinosclerus		50:733*	sp. nov. (VP)	Collins et al. 2000		1	CCUG 39621	776958	
Hymenobacter	aerophilus		52:454*	sp. nov. (VP)	Buczolits et al. 2002 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	DSM 13606, I/26-Cor1, LMG 19657	776959	
Hymenobacter	algoricola		61:1499	sp. nov. (VL)	Klassen and Foght 2011		1	VUG-A23a, JCM 17214	789238	
Hymenobacter	antarcticus		61:1499	sp. nov. (VL)	Klassen and Foght 2011		1	VUG-A42aa, JCM 17217	789239	
Hymenobacter	aquaticus		67:1210*	sp. nov. (VP)	Lee et al. 2017			16F3P, KCTC 52194, JCM 31653	795270	
Hymenobacter	arcticus		64:2117*	sp. nov. (VP)	Chang et al. 2014		1	R2-4, CCTCC AB 2012104, KACC 16881	791861	
Hymenobacter	arizonensis		63:797	sp. nov. (VL)	Reddy and Garcia-Pichel 2013		1	OR362-8, ATCC BAA-1266, JCM 13504	790463	
Hymenobacter	chitinivorans		56:2007*	sp. nov. (VP)	Buczolits et al. 2006		1	Txc1, LMG 21951, DSM 11115	785462	
Hymenobacter	coalescens		66:3550*	sp. nov. (VP)	Kang et al. 2016			WW84, KCTC 32530, JCM 19493	794562	
Hymenobacter	coccineus		67:1980*	sp. nov. (VP)	Sedlácek et al. 2017			P5239, CCM 8649, LMG 29441	795404	
Hymenobacter	daecheongensis		59:1185*	sp. nov. (VP)	Xu et al. 2009		1	Dae14, KCTC 22258, LMG 24498	787857	
Hymenobacter	daeguensis		67:2076	sp. nov. (VL)	Ten et al. 2017			16F3Y-2, JCM 31654, KCTC 52537	795589	
Hymenobacter	deserti		59:81*	sp. nov. (VP)	Zhang et al. 2009		1	ZLB-3, CCTCC AB 207171, NRRL B-51267	787677	
Hymenobacter	elongatus		61:1499	sp. nov. (VL)	Klassen and Foght 2011		1	VUG-A112, JCM 17223	789240	
Hymenobacter	fastidiosus		61:1499	sp. nov. (VL)	Klassen and Foght 2011		1	VUG-A124, JCM 17224, LMG 26015	789241	
Hymenobacter	flocculans		61:2564	sp. nov. (VL)	Chung et al. 2011		1	A2-50A, CIP 110139, LMG 25699	789475	
Hymenobacter	gelipurpurascens		56:2077*	sp. nov. (VP)	Buczolits et al. 2006		1	Txg1, LMG 21873, DSM 11116	785461	
Hymenobacter	ginsengisoli		63:665*	sp. nov. (VP)	Hoang et al. 2013		1	DCY57, JCM 17841, KCTC 23674	790539	
Hymenobacter	glacialis		67:1982*	sp. nov. (VP)	Sedlácek et al. 2017			P5086, CCM 8648, LMG 29440	795406	
Hymenobacter	glaciei		61:1499	sp. nov. (VL)	Klassen and Foght 2011		1	VUG-A130, JCM 17225	789242	
Hymenobacter	glacieicola		66:3797*	sp. nov. (VP)	Liu et al. 2016			B1909, JCM 30596, CGMCC 1.12990	794632	
Hymenobacter	humi		66:4301	sp. nov. (VL)	Srinivasan et al. 2016			DG31A, JCM 19635, KCTC 32523	794727	
Hymenobacter	kanuolensis		64:2111*	sp. nov. (VP)	Su et al. 2014		1	T-3, ACCC 05760, KCTC 32407	791859	
Hymenobacter	koreensis		63:4572*	sp. nov. (VP)	Zhang et al. 2013		1	GYR3077, KACC 16451, JCM 17924	791399	
Hymenobacter	lapidarius		67:1981*	sp. nov. (VP)	Sedlácek et al. 2017			P3150, CCM 8643, LMG 29435	795405	
Hymenobacter	latericoloratus		65:1107	sp. nov. (VL)	Liu et al. 2015			YIM 77920, CCTCC AB 2012949, JCM 30327	792758	
Hymenobacter	luteus		65:1107	sp. nov. (VL)	Liu et al. 2015			YIM 77921, CCTCC AB 2012947, JCM 30328	792759	
Hymenobacter	marinus		66:2216*	sp. nov. (VP)	Kang et al. 2016			KJ035, KCTC 42854, CECT 9069	794170	
Hymenobacter	metalli		61:2564	sp. nov. (VL)	Chung et al. 2011		1	A2-91, CIP 110140, LMG 25700	789476	
Hymenobacter	monticola		66:815*	sp. nov. (VP)	Fan et al. 2016			XF-6R, KCTC 42733, CCTCC AB 2015206	793885	
Hymenobacter	mucosus		65:4125*	sp. nov. (VP)	Liu et al. 2015			YIM 77969, KCTC 32567, DSM 28041	793459	
Hymenobacter	nivis		66:4825*	sp. nov. (VP)	Kojima et al. 2016			P3, DSM 101755, NBRC 111535	794805	
Hymenobacter	norwichensis		56:2077*	sp. nov. (VP)	Buczolits et al. 2006 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	NS/50, LMG 21876, DSM 15439	785463	
Hymenobacter	ocellatus		56:2076*	sp. nov. (VP)	Buczolits et al. 2006	the type strain LMG 21874 was erroneously cited as LMG 21873 by Buczolits et al. 2006	1	Myx 2105, Txol1, LMG 21874, DSM 11117	785460	
Hymenobacter	pallidus		67:2920*	sp. nov. (VP)	Sheu et al. 2017			LYH-12, BCRC 80919, LMG 29171, KCTC 42898	795656	
Hymenobacter	paludis		66:1551*	sp. nov. (VP)	Chen et al. 2016			KBP-30, LMG 27293, KCTC 32237	793983	
